code,soyaku
2160,1
2191,1
2395,1
2929,1
4563,1
4564,1
4565,1
4569,1
4571,1
4572,1
4575,1
4576,1
4579,1
4582,1
4583,1
4584,1
4586,1
4587,1
4588,1
4591,1
4592,1
4593,1
4594,1
4596,1
4597,1
4598,1
4599,1
4875,1
4881,1
4883,1
4884,1
7079,1
